country,binomial
China,Parascaptor leucura
China,Pardofelis marmorata
China,Petaurista alborufus
China,Petaurista elegans
China,Petaurista magnificus
China,Petaurista mechukaensis
China,Petaurista mishmiensis
China,Petaurista petaurista
China,Petaurista philippensis
China,Petaurista xanthotis
China,Phaiomys leucurus
China,Philetor brachypterus
China,Phodopus campbelli
China,Phodopus roborovskii
China,Pipistrellus abramus
China,Pipistrellus alaschanicus
China,Pipistrellus cadornae
China,Pipistrellus ceylonicus
China,Pipistrellus coromandra
China,Pipistrellus javanicus
China,Pipistrellus paterculus
China,Pipistrellus pipistrellus
China,Pipistrellus pulveratus
China,Pipistrellus tenuis
China,Plecotus ognevi
China,Prionailurus bengalensis
China,Prionodon pardicolor
China,Procapra gutturosa
China,Procapra picticaudata
China,Procapra przewalskii
China,Proedromys bedfordi
China,Proedromys liangshanensis
China,Pseudois nayaur
China,Pseudois nayaur ssp. schaeferi
China,Pteromys volans
China,Pteropus giganteus
China,Pteropus lylei
China,Pteropus vampyrus
China,Pygeretmus pumilio
China,Rattus andamanensis
China,Rattus exulans
China,Rattus losea
China,Rattus nitidus
China,Rattus norvegicus
China,Rattus pyctoris
China,Rattus tanezumi
China,Ratufa bicolor
China,Rhinolophus affinis
China,Rhinolophus ferrumequinum
China,Rhinolophus hipposideros
China,Rhinolophus lepidus
China,Rhinolophus luctus
China,Rhinolophus macrotis
China,Rhinolophus malayanus
China,Rhinolophus marshalli
China,Rhinolophus osgoodi
China,Rhinolophus paradoxolophus
China,Rhinolophus pearsonii
China,Rhinolophus pusillus
China,Rhinolophus rex
China,Rhinolophus rouxii
China,Rhinolophus shameli
China,Rhinolophus shortridgei
China,Rhinolophus siamensis
China,Rhinolophus sinicus
China,Rhinolophus stheno
China,Rhinolophus subbadius
China,Rhinolophus thomasi
China,Rhinolophus trifoliatus
China,Rhinolophus yunanensis
China,Rhinopithecus bieti
China,Rhinopithecus brelichi
China,Rhinopithecus roxellana
China,Rhizomys pruinosus
China,Rhizomys sinensis
China,Rhizomys sumatrensis
China,Rhombomys opimus
China,Rousettus amplexicaudatus
China,Rousettus leschenaultii
China,Rucervus eldii
China,Rusa unicolor
China,Salpingotus crassicauda
China,Salpingotus kozlovi
China,Scapanulus oweni
China,Scaptochirus moschatus
China,Scaptonyx fusicaudus
China,Sciurotamias davidianus
China,Sciurotamias forresti
China,Sciurus vulgaris
China,Scotomanes ornatus
China,Scotophilus heathii
China,Scotophilus kuhlii
China,Selevinia betpakdalaensis
China,Semnopithecus schistaceus
China,Sicista caudata
China,Sicista concolor
China,Sicista napaea
China,Sicista pseudonapaea
China,Sicista subtilis
China,Sicista tianshanica
China,Sorex araneus
China,Sorex asper
China,Sorex bedfordiae
China,Sorex caecutiens
China,Sorex cansulus
China,Sorex cylindricauda
China,Sorex daphaenodon
China,Sorex excelsus
China,Sorex gracillimus
China,Sorex isodon
China,Sorex kozlovi
China,Sorex minutissimus
China,Sorex minutus
China,Sorex mirabilis
China,Sorex planiceps
China,Sorex roboratus
China,Sorex sinalis
China,Sorex thibetanus
China,Sorex tundrensis
China,Sorex unguiculatus
China,Soriculus nigrescens
China,Spermophilus alashanicus
China,Spermophilus brevicauda
China,Spermophilus dauricus
China,Spermophilus erythrogenys
China,Spermophilus fulvus
China,Spermophilus pallidicauda
China,Spermophilus ralli
China,Spermophilus relictus
China,Sphaerias blanfordi
China,Stylodipus andrewsi
China,Stylodipus telum
China,Suncus etruscus
China,Suncus murinus
China,Suncus stoliczkanus
China,Tadarida insignis
China,Tadarida latouchei
China,Tadarida teniotis
China,Tamiops macclellandii
China,Tamiops maritimus
China,Tamiops swinhoei
China,Taphozous melanopogon
China,Taphozous nudiventris
China,Trachypithecus francoisi
China,Trachypithecus phayrei
China,Trachypithecus poliocephalus
China,Trachypithecus shortridgei
China,Tragulus kanchil
China,Tragulus williamsoni
China,Trogopterus xanthipes
China,Tscherskia triton
China,Tupaia belangeri
China,Tylonycteris pachypus
China,Tylonycteris robustula
China,Typhlomys cinereus
China,Urocitellus undulatus
China,Uropsilus andersoni
China,Uropsilus gracilis
China,Uropsilus investigator
China,Uropsilus soricipes
China,Ursus arctos
China,Ursus thibetanus
China,Vandeleuria oleracea
China,Vernaya fulva
China,Vespertilio murinus
China,Vespertilio sinensis
China,Viverra zibetha
China,Viverricula indica
China,Volemys millicens
China,Volemys musseri
China,Vormela peregusna
China,Vulpes corsac
China,Vulpes ferrilata
China,Vulpes vulpes
Egypt,Acomys cahirinus
Egypt,Acomys dimidiatus
Egypt,Acomys russatus
Egypt,Allactaga tetradactyla
Egypt,Ammotragus lervia
Egypt,Arvicanthis niloticus
Egypt,Asellia tridens
Egypt,Atelerix algirus
Egypt,Barbastella leucomelas
Egypt,Canis lupus
Egypt,Capra nubiana
Egypt,Caracal caracal
Egypt,Crocidura floweri
Egypt,Crocidura olivieri
Egypt,Crocidura religiosa
Egypt,Crocidura suaveolens
Egypt,Crocidura whitakeri
Egypt,Eliomys melanurus
Egypt,Eptesicus bottae
Egypt,Felis chaus
Egypt,Felis silvestris
Egypt,Gazella dorcas
Egypt,Gazella gazella
Egypt,Gazella leptoceros
Egypt,Genetta genetta
Egypt,Gerbillus amoenus
Egypt,Gerbillus andersoni
Egypt,Gerbillus campestris
Egypt,Gerbillus dasyurus
Egypt,Gerbillus floweri
Egypt,Gerbillus gerbillus
Egypt,Gerbillus henleyi
Egypt,Gerbillus mackillingini
Egypt,Gerbillus perpallidus
Egypt,Gerbillus pyramidum
Egypt,Gerbillus simoni
Egypt,Gerbillus watersi
Egypt,Hemiechinus auritus
Egypt,Herpestes ichneumon
Egypt,Hyaena hyaena
Egypt,Hystrix indica
Egypt,Ichneumia albicauda
Egypt,Ictonyx libycus
Egypt,Ictonyx striatus
Egypt,Jaculus jaculus
Egypt,Jaculus orientalis
Egypt,Lepus capensis
Egypt,Meles meles
Egypt,Mellivora capensis
Egypt,Meriones crassus
Egypt,Meriones libycus
Egypt,Meriones sacramenti
Egypt,Meriones shawi
Egypt,Meriones tristrami
Egypt,Mustela subpalmata
Egypt,Nesokia indica
Egypt,Nycteris thebaica
Egypt,Nycticeinops schlieffeni
Egypt,Orycteropus afer
Egypt,Otonycteris hemprichii
